0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
18.766,18.02,18.246,18.645,19.823,23.797,29.153,30.826,30.551,30.275,30.115,30.162,29.928,30.01,31.0,31.071,30.341,29.032,28.401,26.774,25.105,23.21,21.094,18.908,17.327,16.474,15.908,15.743,15.725,16.165,17.24,18.928,20.891,22.304,22.569,22.096,21.691,21.449,21.938,22.411,22.581,22.042,21.089,19.813,18.761,17.542,16.187,15.646,15.002,14.723,14.398,14.342,14.631,14.95,15.834,17.241,18.698,20.235,21.112,21.381,21.677,22.363,23.084,23.539,23.342,23.078,22.612,22.203,21.118,19.78,17.9,16.259,15.367,14.86,14.692,14.945,16.115,19.358,24.303,25.676,25.561,25.767,25.453,25.391,25.598,25.92,27.284,28.188,27.411,26.353,25.616,24.843,23.71,21.613,18.987,16.984,15.798,15.284,15.066,15.279,16.257,19.428,24.925,26.679,25.065,25.518,25.251,25.456,25.715,26.378,27.408,27.998,27.095,25.996,25.656,25.287,24.324,22.395,19.92,17.497,16.379,15.933,15.88,15.99,16.814,20.254,20.743,23.98,24.075,24.044,23.719,24.102,24.427,25.3,27.171,28.181,27.524,26.154,25.234,24.373,22.865,20.868,18.803,16.664,15.321,14.745,14.418,13.541,14.316,17.175,21.302,22.417,22.446,21.967,21.67,21.289,20.939,21.086,21.923,22.089,21.417,20.6,20.224,20.064,19.066,17.466,15.503,13.752
12.627,12.256,12.126,12.141,12.955,15.811,20.268,22.039,22.356,21.982,22.281,22.445,22.723,22.83,23.067,23.611,23.072,22.03,21.052,20.174,18.357,16.829,15.404,13.975,13.006,12.467,12.022,11.926,12.34,13.23,14.768,16.126,17.508,18.761,19.904,20.051,20.027,20.168,21.049,21.279,21.595,20.904,20.179,18.984,17.874,16.854,15.969,14.475,13.562,13.116,12.998,12.768,12.933,13.601,14.665,16.51,18.231,19.853,20.581,20.952,21.312,22.528,23.78,24.966,24.844,24.59,24.318,23.468,22.433,20.965,19.227,18.036,17.072,16.897,16.946,17.376,18.374,21.312,26.638,28.501,28.221,27.341,26.796,26.882,27.953,28.718,30.779,31.6,30.965,29.62,29.951,30.037,28.505,26.42,23.482,20.766,18.836,18.183,18.079,18.338,19.397,23.649,29.386,31.231,31.366,30.633,29.528,29.379,30.308,30.805,31.82,32.805,32.179,31.33,30.86,30.314,29.592,26.686,23.167,20.417,19.175,18.274,18.179,18.199,19.436,23.676,28.95,30.367,30.403,29.928,29.404,29.234,29.24,29.601,30.819,31.544,31.084,30.297,29.707,29.284,27.599,25.368,23.125,21.141,19.767,19.263,18.787,19.24,20.532,24.9,30.914,32.896,32.851,32.644,32.635,32.387,32.688,33.02,34.405,34.801,34.03,33.078,32.118,31.112,30.137,27.969,25.016,22.671
20.961,20.449,20.128,20.066,21.134,25.28,31.119,33.364,33.734,33.649,33.15,32.712,32.606,32.79,33.943,34.57,33.714,32.047,30.57,29.097,26.968,25.077,22.971,20.618,19.269,18.681,17.973,17.949,18.674,19.641,21.249,23.535,25.777,26.939,27.653,27.38,27.637,27.817,28.583,28.858,28.77,27.561,25.56,23.964,22.478,21.318,19.355,17.646,16.693,15.959,15.503,15.292,15.453,15.756,16.622,18.08,19.994,21.453,22.443,23.282,23.957,24.814,26.131,26.961,26.498,25.379,24.673,24.174,23.203,21.415,18.627,16.686,15.995,15.934,15.088,15.095,15.731,19.353,24.053,25.61,25.576,25.064,24.67,24.91,25.018,25.54,26.534,26.822,25.466,24.38,23.861,22.898,21.882,20.035,17.824,15.74,14.571,14.037,13.575,13.482,14.025,17.273,22.06,23.547,23.29,22.041,21.928,22.591,22.272,22.645,23.131,22.997,22.484,21.628,21.342,20.98,19.974,18.277,16.162,14.16,13.162,12.669,12.476,12.522,13.197,16.217,20.236,20.937,21.288,21.202,20.93,21.048,21.131,21.881,23.073,23.278,22.166,21.259,20.331,20.262,19.243,18.405,16.742,14.982,14.034,13.627,13.39,13.43,13.636,16.372,21.146,22.636,22.979,22.574,22.166,22.38,22.564,22.886,23.858,23.938,23.003,22.141,21.437,21.112,20.119,18.89,17.324,15.646
14.373,13.645,13.313,13.578,14.543,17.29,21.24,23.152,23.904,23.633,23.544,23.415,23.174,23.246,23.556,23.437,22.786,21.875,20.981,19.8,18.596,17.312,15.702,13.98,12.796,12.065,11.741,11.592,11.557,11.963,12.83,14.391,16.162,17.339,18.535,19.053,18.86,19.091,19.824,19.747,19.299,19.072,18.642,17.818,16.925,16.161,14.812,13.492,12.227,11.662,11.65,11.488,11.573,11.84,12.549,13.739,15.397,16.593,16.933,17.047,17.523,18.222,19.369,19.904,17.608,16.228,15.218,14.369,13.785,13.449,13.45,12.985,12.437,11.819,11.421,11.273,11.5,12.4,13.203,13.981,14.92,15.75,16.406,16.764,16.701,16.867,17.728,18.028,17.528,17.038,16.76,16.314,15.567,14.837,14.24,13.735,13.201,12.862,12.813,12.99,13.439,14.31,15.705,16.698,18.004,19.22,19.884,20.488,21.421,22.16,22.882,22.803,21.787,20.991,20.084,19.522,18.928,18.068,16.807,15.721,15.627,15.379,15.745,16.105,16.96,18.956,21.71,23.866,25.394,26.365,26.43,26.324,25.958,26.146,27.729,27.94,26.996,25.732,24.519,23.219,22.203,21.124,19.839,18.562,17.939,17.54,17.324,17.439,14.832,17.464,21.642,23.399,25.149,25.467,26.093,25.532,25.117,26.221,27.063,27.046,25.558,23.404,22.506,22.344,21.972,20.154,18.228,16.629
15.942,15.383,14.959,14.873,15.437,17.113,19.136,21.102,22.88,24.28,24.652,24.386,24.364,25.117,26.466,26.913,26.218,25.053,23.734,22.112,21.31,20.541,18.539,16.772,16.031,15.198,14.977,14.789,14.895,15.429,16.36,17.891,19.66,20.953,21.711,21.857,21.817,22.177,23.348,24.247,24.548,24.302,23.735,23.128,22.964,22.283,21.397,20.382,19.341,18.875,18.372,18.376,18.51,18.986,19.706,20.903,22.244,23.792,24.754,25.266,25.562,26.472,27.967,29.28,29.344,28.026,25.421,22.314,20.33,18.885,17.591,16.811,16.325,15.517,15.018,14.788,15.087,15.738,16.449,16.996,17.972,19.051,19.832,20.631,21.557,22.298,23.668,24.684,24.297,23.039,21.802,21.44,20.427,18.62,16.909,15.414,14.604,14.213,14.148,14.383,15.185,18.464,22.799,24.082,24.473,24.478,24.792,24.647,23.664,23.433,24.343,25.678,25.799,24.962,23.713,23.714,22.701,21.397,19.123,17.489,16.667,16.438,16.45,16.815,17.9,22.133,27.541,29.539,29.705,29.565,29.288,29.033,28.926,29.158,29.305,29.808,29.548,29.237,28.701,27.566,25.921,23.748,20.721,18.105,16.965,16.538,16.282,16.413,17.356,21.635,26.652,28.022,28.32,27.876,27.054,26.497,25.929,26.55,27.717,28.441,27.98,27.006,25.707,24.944,23.17,21.598,19.377,17.622
16.746,16.297,16.114,16.4,17.493,21.543,26.468,28.644,28.892,28.799,27.946,27.2,27.297,28.314,29.365,30.107,28.85,27.88,26.966,25.449,23.705,22.235,20.407,18.746,17.398,16.956,16.671,16.909,17.007,18.051,19.159,21.332,23.568,25.262,26.405,26.931,26.287,26.573,27.235,27.999,28.02,27.438,26.678,25.116,23.429,21.828,20.374,19.419,18.291,17.582,17.183,16.899,16.951,17.466,18.458,19.557,21.536,22.505,23.695,24.154,24.974,25.849,26.827,27.638,27.301,26.699,25.121,24.094,22.991,21.241,19.064,17.011,16.226,16.088,15.951,15.912,16.658,20.308,24.767,24.983,24.598,24.254,24.38,23.697,23.891,25.056,26.408,26.922,26.993,26.298,25.294,24.724,24.231,22.449,20.082,17.856,16.773,16.549,16.585,16.831,18.006,22.328,27.974,29.617,29.893,29.983,29.936,30.05,29.881,30.61,31.883,32.632,32.025,30.78,30.299,30.184,29.007,26.801,23.804,21.124,19.647,18.542,17.789,17.186,17.463,20.332,25.096,26.444,26.055,25.628,25.143,24.787,24.394,24.465,25.59,27.303,26.791,26.412,26.449,25.079,23.806,22.054,19.728,16.95,15.216,14.837,15.091,14.57,15.107,18.144,22.519,23.705,23.438,22.923,22.676,22.756,22.588,22.703,23.524,24.681,24.285,23.079,22.785,21.256,20.2,18.653,16.524,14.705
13.653,13.129,13.013,13.216,13.981,17.126,22.031,24.81,24.559,24.315,24.11,24.328,24.077,24.64,25.579,26.632,26.091,24.814,24.485,23.143,21.734,20.477,19.138,17.884,16.957,16.444,16.261,16.248,16.56,17.243,18.407,20.224,22.385,24.029,24.373,24.065,23.718,23.9,24.702,26.125,26.819,26.701,25.809,24.28,23.046,21.234,20.233,19.21,18.499,17.693,17.544,17.493,17.381,17.784,18.142,19.447,21.122,22.583,22.886,22.904,22.726,23.272,24.861,26.416,26.474,26.261,25.973,24.766,24.041,22.564,20.861,28.651,26.515,24.639,24.746,25.542,27.115,33.146,41.244,43.096,44.399,44.322,43.468,43.108,43.107,43.427,45.078,47.257,45.797,43.768,42.179,40.489,38.508,34.79,30.467,27.613,25.436,24.628,24.172,24.054,25.147,30.324,38.328,40.486,40.143,39.319,38.755,37.907,37.124,37.821,39.499,41.878,40.321,39.475,37.158,37.337,35.023,31.103,27.209,23.956,22.241,21.55,21.087,21.246,22.684,27.642,36.3,37.695,37.145,36.892,36.951,38.162,38.113,38.71,40.412,43.435,42.404,40.883,40.169,39.103,37.242,34.362,30.416,26.882,25.316,24.729,24.633,25.368,27.212,33.229,41.633,43.767,43.708,43.239,42.286,40.351,39.619,40.462,41.978,45.297,44.532,42.906,41.693,40.616,38.546,35.729,31.744,28.602
26.965,26.055,25.992,26.305,27.942,33.764,42.145,45.148,45.289,44.677,43.651,42.467,42.201,42.832,44.604,47.61,46.637,46.944,45.13,42.239,39.585,37.191,33.766,31.058,29.32,28.531,27.589,28.226,28.576,29.648,31.671,35.497,38.856,41.891,42.444,41.873,41.6,41.416,42.553,44.957,45.646,45.061,43.862,41.741,39.392,37.0,35.026,33.243,31.675,30.72,30.199,30.184,30.547,31.472,32.789,35.198,37.762,40.425,41.52,41.81,41.792,42.408,43.724,46.658,47.473,47.499,46.874,46.105,44.496,41.504,38.072,35.019,33.046,32.379,32.327,32.772,34.753,42.433,52.255,53.664,53.358,53.01,51.975,49.536,48.726,48.713,50.603,54.313,53.986,52.104,50.901,50.751,49.737,46.322,40.846,35.442,33.785,32.881,33.498,33.995,35.84,42.445,50.449,53.716,51.98,51.982,49.494,49.711,50.269,50.514,51.763,52.968,51.195,48.322,47.07,44.061,39.506,35.989,30.842,26.287,23.704,22.33,21.772,21.703,23.48,29.804,37.403,39.213,38.498,37.803,37.413,38.099,38.464,38.378,38.973,39.137,39.998,38.48,36.342,34.618,32.803,29.843,25.771,22.304,20.495,19.414,19.312,19.592,21.21,26.271,33.385,36.623,36.542,36.414,35.989,35.792,36.034,36.385,37.534,39.813,39.177,37.538,36.684,35.12,33.39,30.925,27.156,24.046
22.092,21.356,21.211,21.678,23.32,28.6,35.486,38.383,38.622,38.008,36.697,37.382,36.997,37.071,36.541,39.187,38.009,36.998,35.965,33.51,30.014,27.193,24.626,21.942,20.385,20.243,19.878,19.169,19.176,19.899,22.467,25.56,28.46,30.745,30.466,29.976,29.827,30.795,32.776,35.675,38.218,37.057,36.787,34.468,31.94,30.23,28.235,26.237,25.013,24.13,23.352,23.047,23.335,24.212,25.462,27.385,29.389,31.457,31.288,30.06,30.813,31.408,33.474,36.582,37.838,37.724,37.21,36.004,34.294,31.964,29.168,26.341,24.954,24.393,24.208,24.131,24.944,30.364,38.229,39.858,40.183,40.015,39.312,38.932,38.691,38.75,40.235,43.831,43.672,41.959,41.11,39.461,37.475,35.024,31.449,27.623,25.422,24.403,23.715,23.937,25.83,31.852,39.878,42.558,42.572,42.154,40.939,40.741,40.569,40.262,41.545,44.807,45.598,44.069,42.405,40.43,38.195,34.887,29.246,24.973,23.117,22.936,22.348,22.544,23.742,28.726,37.767,40.34,40.555,39.719,37.48,37.561,37.535,38.201,39.513,40.945,39.964,38.289,36.97,35.509,33.508,30.481,26.611,23.526,21.607,20.673,20.376,20.615,22.263,27.695,35.666,38.7,39.85,40.056,39.715,38.84,39.422,40.489,41.98,44.956,45.352,43.854,42.717,42.208,40.287,37.636,33.979,30.865
28.89,28.399,28.848,29.749,31.804,38.824,46.93,49.207,49.487,49.475,48.525,46.874,45.483,45.461,47.874,50.07,52.418,51.85,50.689,46.99,43.906,41.877,38.567,35.691,33.945,33.742,33.597,33.568,33.946,35.131,36.901,38.886,43.223,45.536,44.292,44.389,43.495,42.788,42.751,45.443,48.863,48.993,48.015,45.132,42.499,40.152,37.699,35.308,33.473,33.197,31.987,32.435,33.058,34.397,36.446,38.383,41.106,42.913,43.777,43.805,44.056,44.573,45.851,46.999,47.521,47.482,46.721,44.779,41.981,38.288,33.986,30.446,27.516,26.182,26.257,26.566,27.492,33.995,42.165,43.447,43.459,43.152,42.314,41.832,40.656,39.289,39.951,42.763,43.616,41.963,41.408,41.226,38.644,35.014,30.856,27.982,26.47,25.621,24.991,25.435,27.161,34.225,42.576,42.501,42.503,41.433,40.637,40.404,39.83,40.034,40.891,43.101,43.194,41.755,42.61,41.535,39.423,35.93,31.293,28.131,26.585,25.839,25.84,26.417,27.999,31.918,39.048,41.231,43.103,42.694,42.246,42.325,41.476,41.016,42.011,43.024,43.142,41.273,40.393,39.606,37.893,36.026,31.424,28.549,26.907,26.365,25.822,25.727,28.173,34.412,43.105,43.79,42.673,43.09,42.83,42.424,41.51,40.634,41.567,43.557,43.095,41.155,41.018,39.942,38.05,35.273,31.38,28.353
